Title,ISBN,Source,Cover,Price,MRP,Discount,Format,Rating
"PW CBSE 11 Sample Question Papers Class 12 Applied Mathematics for 2025 Exam | Competency-Based Learning | PYQ 2024 with Topper's Explanations, CBSE SQP & CBSE Practice Questions",9789360348250,https://www.flipkart.com/pw-cbse-11-sample-question-papers-class-12-applied-mathematics-2025-exam-competency-based-learning-pyq-2024-topper-s-explanations-sqp-practice-questions/p/itm6c7e47c503555?pid=9789360348250,https://rukminim2.flixcart.com/image/612/612/xif0q/book/h/m/d/pw-cbse-11-sample-question-papers-class-12-applied-mathematics-original-imah3xvv4rzczzju.jpeg?q=70,₹169,₹199,15% off,"Paperback, PW",
Handbook of Mathematics - Complete Ncert in One Liner Format for Jee/ Cbse Class 11 & 12,9789355642264,https://www.flipkart.com/handbook-mathematics-complete-ncert-one-liner-format-jee-cbse-class-11-12/p/itm87246eb78f632?pid=9789355642264,https://rukminim2.flixcart.com/image/612/612/xif0q/book/f/z/j/handbook-of-mathematics-complete-ncert-in-one-liner-format-for-original-imah33sthxcsveks.jpeg?q=70,₹200,,,"English, Paperback, Disha Experts",4
"Magical Graphs and Key Revision Notes for Mathematics Class 11/ 12, Bitsat, Jee Main & Advanced 1 Edition",9789384905125,https://www.flipkart.com/magical-graphs-key-revision-notes-mathematics-class-11-12-bitsat-jee-main-advanced-1/p/itme4q5huahrrhaw?pid=9789384905125,https://rukminim2.flixcart.com/image/612/612/l3os4280/book/6/8/p/magical-graphs-and-key-revision-notes-for-mathematics-class-11-original-imageqy4jdsxgc5r.jpeg?q=70,₹181,₹250,27% off,"English, Paperback, Kumar Gajendra",4.2
Std 12 Bifocal Science Electronics | Paper - II : Applied Electronics | HSC Maharashtra State Board | Includes 10 Previous Years Board Question With Solutions | Course Code : C-2,RBKGRSFFEMMJDVVF,https://www.flipkart.com/std-12-bifocal-science-electronics-paper-ii-applied-hsc-maharashtra-state-board-includes-10-previous-years-question-solutions-course-code-c-2/p/itm2d05ecde99452?pid=RBKGRSFFEMMJDVVF,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/d/h/z/std-12-bifocal-science-electronics-paper-ii-applied-electronics-original-imah4ndhegd45uu8.jpeg?q=70,₹210,,,"Paperback, Prof. R. M. Baphana, Sandeep Wali, Sachin S. Shah",
Std 12 Electronics Paper - I : Applied Electronics | HSC Science Maharashtra Board | Includes 10 Previous Years Board Question Papers with Solutions | Course code : C-2,9789355834065,https://www.flipkart.com/std-12-electronics-paper-applied-hsc-science-maharashtra-board-includes-10-previous-years-question-papers-solutions-course-code-c-2/p/itm5fa392e38369f?pid=9789355834065,https://rukminim2.flixcart.com/image/612/612/xif0q/book/i/6/p/std-12-electronics-paper-i-applied-electronics-hsc-science-original-imah3vnthdqyjfdf.jpeg?q=70,₹210,,,"Paperback, Prof. R. M. Baphana, Sandeep Wali, Sachin S. Shah",
"Handbook of Mathematics with Flash Cards for Jee, Cbse Class 11 & 12 & Cuet - Complete Ncert in One Liner Format - Engineering, Cbse Xi & XII",9789362255341,https://www.flipkart.com/handbook-mathematics-flash-cards-jee-cbse-class-11-12-cuet-complete-ncert-one-liner-format-engineering-xi-xii/p/itmc0761492cd6dc?pid=9789362255341,https://rukminim2.flixcart.com/image/612/612/xif0q/book/x/y/r/handbook-of-mathematics-with-flash-cards-for-jee-cbse-class-11-original-imahfu4ehry45zxg.jpeg?q=70,₹230,₹325,29% off,"English, Paperback, Baheti Rittik",2.3
"Applied Mathematics Class-12th 
 in English (Paperback, R.D. SHARMA)",9789394417090,https://www.flipkart.com/applied-mathematics-class-12th-english-paperback-r-d-sharma/p/itmde2205086929c?pid=9789394417090,https://rukminim2.flixcart.com/image/612/612/xif0q/book/r/d/8/applied-mathematics-class-12th-in-english-paperback-r-d-sharma-original-imagw3nbxwrgfrgw.jpeg?q=70,₹421,"₹1,031",59% off,"Dhanpat Rai Publication, R.D. Sharma",3.7
CBSE I-Succeed Sample Question Papers Applied Mathematics Class 12th,9789364373197,https://www.flipkart.com/cbse-i-succeed-sample-question-papers-applied-mathematics-class-12th/p/itm35a5a98277370?pid=9789364373197,https://rukminim2.flixcart.com/image/612/612/xif0q/book/g/l/n/cbse-i-succeed-sample-question-papers-applied-mathematics-class-original-imah5anhnsnfthhk.jpeg?q=70,₹250,,,"Paperback, Sunil Rathod, Prem",
CUET UG Entrance Exam Books 2024 - CUET (UG) Applied Maths For Common University Entrance Include 10 Practice Paper Test With CUET Sample Paper - Based On Latest Exam Pattern | Sections II (A & B2) Code : 319,RBKGNRPEX84TUKYM,https://www.flipkart.com/cuet-ug-entrance-exam-books-2024-ug-applied-maths-common-university-include-10-practice-paper-test-sample-based-latest-pattern-sections-ii-a-b2-code-319/p/itmde1fd004369a1?pid=RBKGNRPEX84TUKYM,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/c/j/n/cuet-ug-entrance-exam-books-2023-cuet-ug-applied-maths-for-original-imagnrpemftehcfk.jpeg?q=70,₹120,,,"Paperback, Target Publications",3.8
Class 2 Transferases XII,9783540715238,https://www.flipkart.com/class-2-transferases-xii/p/itmdz6u6f9xz2hfs?pid=9783540715238,https://rukminim2.flixcart.com/image/612/612/jox7xjk0/book/2/3/8/class-2-transferases-xii-original-imafb9znmf8ejtee.jpeg?q=70,"₹35,090","₹52,635",33% off,"English, Hardcover, unknown",
