"price","mrp","discount","condition","seller","sellerID","ASIN","SellerListingLink"
"₹405.00","₹499.00","-19%","New","The Book Masters","A1HSME87SANYHJ","9359580554","https://www.amazon.in/gp/product/9359580554?smid=A1HSME87SANYHJ&psc=1"
"₹397.00","₹499.00","-20%","New","Panchsheel Books","A3DM1FLUKA6IGQ","9359580554","https://www.amazon.in/gp/product/9359580554?smid=A3DM1FLUKA6IGQ&psc=1"
"₹445.00","₹499.00","-11%","New","Batheja Books","A2QUCPKK3GH5NC","9359580554","https://www.amazon.in/gp/product/9359580554?smid=A2QUCPKK3GH5NC&psc=1"
"₹447.00","₹499.00","-10%","New","zombozone","A10UYEE5C0HH3O","9359580554","https://www.amazon.in/gp/product/9359580554?smid=A10UYEE5C0HH3O&psc=1"
"₹447.00","₹499.00","-10%","New","Cocoblu Retail","A1WYWER0W24N8S","9359580554","https://www.amazon.in/gp/product/9359580554?smid=A1WYWER0W24N8S&psc=1"
"₹447.00","₹499.00","-10%","New","R R BOOK STALL","A1GY9C30S2WNDQ","9359580554","https://www.amazon.in/gp/product/9359580554?smid=A1GY9C30S2WNDQ&psc=1"
"₹449.00","₹499.00","-10%","New","Book Zone India","A39HNXMA6S5QLF","9359580554","https://www.amazon.in/gp/product/9359580554?smid=A39HNXMA6S5QLF&psc=1"
"₹499.00","Unavailable","","New","Oswaal Books and Learning Private Limited","A3PS9PW8IUPJAO","9359580554","https://www.amazon.in/gp/product/9359580554?smid=A3PS9PW8IUPJAO&psc=1"
"119.","Unavailable","","New","Cocoblu Retail(drop box)","A1WYWER0W24N8S","9354635237",
"₹113.00","₹119.00","-5%","New","Book Zone India","A39HNXMA6S5QLF","9354635237","https://www.amazon.in/gp/product/9354635237?smid=A39HNXMA6S5QLF&psc=1"
"₹119.00","Unavailable","","New","Oswaal Books and Learning Private Limited","A3PS9PW8IUPJAO","9354635237","https://www.amazon.in/gp/product/9354635237?smid=A3PS9PW8IUPJAO&psc=1"
